"","Genus","Species"
"1","Anser","fabalis"
"2","Anthus","cervinus"
"3","Anthus","gustavi"
"4","Anthus","rubescens"
"5","Arenaria","interpres"
"6","Asio","flammeus"
"7","Aythya","marila"
"8","Butastur","indicus"
"9","Calidris","acuminata"
"10","Calidris","alba"
"11","Calidris","ruficollis"
"12","Calidris","temminckii"
"13","Ciconia","boyciana"
"14","Coturnicops","exquisitus"
"15","Dendrocopos","noguchii"
"16","Dendrocopos","owstoni"
"17","Emberiza","personata"
"18","Emberiza","variabilis"
"19","Eophona","personata"
"20","Ficedula","albicilla"
"21","Gallinago","stenura"
"22","Garrulus","lidthi"
"23","Gavia","arctica"
"24","Gavia","stellata"
"25","Geokichla","sibirica"
"26","Histrionicus","histrionicus"
"27","Hypotaenidia","okinawae"
"28","Larus","canus"
"29","Larus","fuscus"
"30","Larvivora","komadori"
"31","Larvivora","namiyei"
"32","Limosa","limosa"
"33","Locustella","ochotensis"
"34","Mareca","falcata"
"35","Mareca","penelope"
"36","Melanitta","stejnegeri"
"37","Mergus","serrator"
"38","Motacilla","grandis"
"39","Numenius","arquata"
"40","Numenius","madagascariensis"
"41","Phasianus","versicolor"
"42","Phylloscopus","borealoides"
"43","Phylloscopus","ijimae"
"44","Phylloscopus","inornatus"
"45","Picus","awokera"
"46","Platalea","minor"
"47","Pluvialis","fulva"
"48","Podiceps","auritus"
"49","Pterodroma","solandri"
"50","Rissa","tridactyla"
"51","Scolopax","mira"
"52","Spinus","spinus"
"53","Tringa","ochropus"
"54","Turdus","celaenops"
"55","Turdus","chrysolaus"
"56","Turdus","naumanni"
"57","Turdus","obscurus"
"58","Urile","pelagicus"
"59","Zoothera","major"
"60","Abroscopus","albogularis"
"61","Abroscopus","schisticeps"
"62","Abroscopus","superciliaris"
"63","Acanthis","flammea"
"64","Acanthoptila","nipalensis"
"65","Accipiter","badius"
"66","Accipiter","butleri"
"67","Accipiter","erythrauchen"
"68","Accipiter","fasciatus"
"69","Accipiter","gentilis"
"70","Accipiter","griseiceps"
